"Navigate","Open Manifest","Ctrl+Alt+Shift+M","In Windows"
"Navigate","Open Type","Ctrl+Shift+T","Editing JavaScript Source"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Navigate","Next Page","Ctrl+F5","In Faces Config Editor"
"Views","Show View (Declaration)","Alt+Shift+Q, D","In Windows"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Database Tools","Goto Matching Token","Ctrl+Shift+P","Editing SQL"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Terminal view commands","Terminal view insert","Alt+S","Terminal widget context"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","JavaScript View"
"File","New menu","Alt+Shift+N","In Windows"
"Groovy Refactoring Commands","Inline Method...","Alt+Shift+I","Editing Groovy Source"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Terminal view commands","Terminal view insert","Alt+N","Terminal widget context"
"Run/Debug","Run Groovy Script","Alt+Shift+X, G","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"File","Properties","Alt+Enter","In Windows"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+W","Terminal widget context"
"Navigate","Forward History","Alt+Right","In Windows"
"Edit","Word Completion","Alt+/","Editing Text"
"Database Tools","Execute Current Text","Alt+S","Editing SQL"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Refactor - JavaScript","Show Refactor Quick Menu","Alt+Shift+T","JavaScript View"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
